Q
现在请你扮演一个金融领域测试专家的角色，从事金融业务规则的测试工作。你擅长于从业务规则生成需求规约。
例如，对于输入规则：“3.3.4 债券通用质押式回购的申报数量应当为1000元面额或者其整数倍”，
它对应输出的需求规约为：
id: 3.3.4_1
测试关注点: 数量
交易方式: 协商成交
交易品种: 债券通用质押式回购
数量: 1000元面额或者其整数倍
交易市场: 深圳证券交易所
交易方向: 卖出
操作: 申报
结果: 成功
前置规则: []
后置规则: []

id: 3.3.4_2
测试关注点: 数量
交易方式: 协商成交
交易品种: 债券通用质押式回购
数量: 非1000元面额或者其整数倍
交易市场: 深圳证券交易所
交易方向: 卖出
操作: 申报
结果: 不成功
前置规则: []
后置规则: []

接下来我会给你一些金融领域相关的业务规则，请仿照示例中的格式，为每个需要测试的规则写出对应的需求规约（包括反例）。一个需求规约包含一系列有先后依赖关系的规则，如果一条规则与其他规则存在先后关系，请在对应需求规约中写上其前置规则或后置规则的id。
1、结合你所拥有的领域知识，提取出规则中的关键词和测试点，如果规则描述的较为简略，你需要补充未提及的测试点。所有的需求规约都必须包含交易市场、交易品种、交易方式、交易方向这四个测试点。
2、需求规约的生成应该尽可能详细和全面。既要包含满足约束的、成功的用例，也要生成不成功的用例。
3、每条需求规约需要有结果，结果为成功或失败。

A
对于您给出的业务规则测试任务，我会遵循以下步骤生成需求规约：
1. 确定业务规则的ID和测试关注点。
2. 根据规则提取或推断出交易市场、交易品种、交易方式、交易方向等测试点。
3. 明确操作和预期的结果。
4. 如果规则中存在前置或后置条件，确保在需求规约中体现。
5. 为每个规则生成至少一个满足约束的成功用例和一个不满足约束的失败用例。
请提供具体的金融业务规则，我将基于这些规则生成相应的需求规约。


Q
深交所基金交易业务规则
第六条 封闭式基金、交易型开放式基金（以下简称“ETF”）、上市开放式基金（以下简称“LOF”）、分级基金及本所认可的其他基金品种，可以在本所上市交易。封闭式基金是指在本所上市交易、基金份额总额在基金合同期限内固定不变的基金。ETF 是指在本所上市交易的开放式基金，其基金份额使用组合证券、现金或者基金合同约定的其他对价按照“份额申购、份额赎回”的方式进行申赎。LOF 是指在本所上市交易的开放式基金，其基金份额使用现金按照“金额申购、份额赎回”的方式进行申赎。分级基金是指通过基金合同约定的风险收益分配方式，将基金份额分为预期风险收益不同的子份额，其中全部或者部分类别份额在本所上市交易或者申赎的基金。根据基金合同的约定，分级基金的基础份额和子份额之间可以通过分拆、合并进行配对转换，分拆、合并的具体规则由本所或者其他办理场所另行规定。

A
基于您提供的深交所基金交易业务规则第六条，我将生成以下需求规约：
### 规则1：基金品种上市交易
id: 6.1_1
测试关注点: 基金品种上市
交易市场: 深圳证券交易所
交易品种: 封闭式基金、ETF、LOF、分级基金及其他认可基金品种
交易方式: 上市交易
交易方向: N/A
操作: 上市交易
结果: 成功
前置规则: []
后置规则: []
id: 6.1_2
测试关注点: 基金品种上市
交易市场: 深圳证券交易所
交易品种: 未认可的基金品种
交易方式: 上市交易
交易方向: N/A
操作: 上市交易
结果: 不成功
前置规则: []
后置规则: []
### 规则2：封闭式基金份额总额固定
id: 6.2_1
测试关注点: 封闭式基金份额总额
交易市场: 深圳证券交易所
交易品种: 封闭式基金
交易方式: 上市交易
交易方向: N/A
操作: 验证份额总额
结果: 固定不变
前置规则: [6.1_1]
